Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
"Interaktives ""Souvenir aus Rom""",https://codingdavinci.de/de/projekte/interaktives-souvenir-aus-rom,web_rehberg-album-cover.jpg,,Das Rehberg-Album,/sites/default/files/2021-01/web_rehberg-album-cover.jpg,image/jpeg,Niedersachsen 2020
Virtueller Rundgang,https://codingdavinci.de/de/projekte/virtueller-rundgang,virtuellerrundganginnenansicht.png,CC BY-SA 4.0,Team Blaubeertorte,/sites/default/files/2021-01/virtuellerrundganginnenansicht.png,image/png,Niedersachsen 2020
Herzog VR August,https://codingdavinci.de/de/projekte/herzog-vr-august,thumbnail.png,CC BY-SA 3.0,Herzog VR August Team,/sites/default/files/2021-01/thumbnail.png,image/png,Niedersachsen 2020
Herzog VR August,https://codingdavinci.de/de/projekte/herzog-vr-august,thumbnail.png,CC BY-SA 3.0,Herzog VR August Team,/sites/default/files/2021-01/thumbnail.png,image/png,Niedersachsen 2020
Herzog VR August,https://codingdavinci.de/en/projekte/herzog-vr-august,thumbnail.png,CC BY-SA 3.0,Herzog VR August Team,/sites/default/files/2021-01/thumbnail.png,image/png,Niedersachsen 2020
Herzog VR August,https://codingdavinci.de/en/projekte/herzog-vr-august,thumbnail.png,CC BY-SA 3.0,Herzog VR August Team,/sites/default/files/2021-01/thumbnail.png,image/png,Niedersachsen 2020
3D-Scans,https://codingdavinci.de/de/projekte/3d-scans,projektgrafik.png,public domain,,/sites/default/files/2021-01/projektgrafik.png,image/png,Niedersachsen 2020
The Brick Museum,https://codingdavinci.de/de/projekte/brick-museum,museum-schichten.png,CC BY-SA 4.0,Dithmarscher Landesmuseum + Tursics,/sites/default/files/2021-06/museum-schichten.png,image/png,Schleswig-Holstein 2021
Spaß mit Wappen,https://codingdavinci.de/de/projekte/spass-mit-wappen,cover2.png,CC0 1.0,Cover,/sites/default/files/2021-06/cover2.png,image/png,Schleswig-Holstein 2021
Historischer Kleiderschrank,https://codingdavinci.de/de/projekte/historischer-kleiderschrank,webseitenbild_0.jpg,CC BY 4.0,Ronja Erhardt,/sites/default/files/2021-06/webseitenbild_0.jpg,image/jpeg,Schleswig-Holstein 2021
Kann KI mit offenen Daten kreative sein?,https://codingdavinci.de/de/projekte/kann-ki-mit-offenen-daten-kreative-sein,5-2_0.png,CC BY 3.0,Niels Becker,/sites/default/files/2021-05/5-2_0.png,image/png,Schleswig-Holstein 2021
archiv criminalis,https://codingdavinci.de/de/projekte/archiv-criminalis,titelbild2.png,CC BY-SA 4.0,Archiv Criminalis,/sites/default/files/2021-05/titelbild2.png,image/png,Schleswig-Holstein 2021
Intersubjektive Kunstkarte / IK,https://codingdavinci.de/de/projekte/intersubjektive-kunstkarte-ik,logo.png,public domain,,/sites/default/files/2021-06/logo.png,image/png,Schleswig-Holstein 2021
Schaufel und Schweiß,https://codingdavinci.de/de/projekte/schaufel-und-schweiss,unbenannt-1_zeichenflache-1-kopie-2.png,CC BY 3.0 DE,,/sites/default/files/2021-06/unbenannt-1_zeichenflache-1-kopie-2.png,image/png,Schleswig-Holstein 2021
Numisma,https://codingdavinci.de/de/projekte/numisma,numismatitelbild2_0.png,CC BY-SA 4.0,Numisma CDV SH 2021,/sites/default/files/2021-06/numismatitelbild2_0.png,image/png,Schleswig-Holstein 2021
Vogelkieker - Vogelbeobachtungen Sylt,https://codingdavinci.de/de/projekte/vogelkieker-vogelbeobachtungen-sylt,profilbidl_zeichenflache-1_quad_1.png,CC BY 4.0,Vogelkieker-Team,/sites/default/files/2021-06/profilbidl_zeichenflache-1_quad_1.png,image/png,Schleswig-Holstein 2021
Der Münzschatz von Westerland,https://codingdavinci.de/de/projekte/der-muenzschatz-von-westerland,bild1_muenzen_zeichenflache-1.png,CC BY 3.0,Ramona Wahl,/sites/default/files/2021-06/bild1_muenzen_zeichenflache-1.png,image/png,Schleswig-Holstein 2021
Ephemeral,https://codingdavinci.de/de/projekte/ephemeral,1-nft-2.gif,CC BY-SA 4.0,Annika Drießen,/sites/default/files/2021-06/1-nft-2.gif,image/gif,Schleswig-Holstein 2021
Following Quedenfeldt,https://codingdavinci.de/de/projekte/following-quedenfeldt,2021-10-11-13_07_59-following-quedenfeldt-_-coding-da-vinci.jpg,CC BY 3.0 DE,Michael Cieslik,/sites/default/files/2021-10/2021-10-11-13_07_59-following-quedenfeldt-_-coding-da-vinci.jpg,image/jpeg,Nieder.Rhein.Land 2021
JULALA = Webanwendung + Malheft für Kinder und Erwachsene,https://codingdavinci.de/de/projekte/julala-webanwendung-malheft-fuer-kinder-und-erwachsene,pikto-julala_cdvuebersicht.png,CC BY 4.0,Liane Hellmund,/sites/default/files/2021-10/pikto-julala_cdvuebersicht.png,image/png,Nieder.Rhein.Land 2021
Bilderbazar - Eine Zeitmaschine,https://codingdavinci.de/de/projekte/bilderbazar-eine-zeitmaschine,1563_0.png,CC BY 3.0,Frank Horlitz,/sites/default/files/2021-11/1563_0.png,image/png,Nieder.Rhein.Land 2021
Daumier auf neuen Wegen,https://codingdavinci.de/de/projekte/daumier-auf-neuen-wegen,daumier_theater.gif,public domain,,/sites/default/files/2021-10/daumier_theater.gif,image/gif,Nieder.Rhein.Land 2021
Kunterbunt,https://codingdavinci.de/de/projekte/kunterbunt,banner_0.png,CC BY-SA 3.0 DE,"Rheinisches Bildarchiv Köln / Römisch Germanisches Museum Köln / Anja Wegner, bearbeitet + Thomas Tursics",/sites/default/files/2021-10/banner_0.png,image/png,Nieder.Rhein.Land 2021
Kleinanzeigen aus dem Vorwärts von 1891,https://codingdavinci.de/de/projekte/kleinanzeigen-aus-dem-vorwaerts-von-1891,bildschirmfoto-2021-11-04-um-10.58.32.png,CC BY 4.0,Archiv der sozialen Demokratie,/sites/default/files/2021-11/bildschirmfoto-2021-11-04-um-10.58.32.png,image/png,Nieder.Rhein.Land 2021
Pallenberg Dias - ein illustriertes VR Erlebnis,https://codingdavinci.de/de/projekte/pallenberg-dias-ein-illustriertes-vr-erlebnis,360-vr-pallenberg-anfangsszenario_titelbild1.png,CC BY 4.0,Pia Mennemeier,/sites/default/files/2021-11/360-vr-pallenberg-anfangsszenario_titelbild1.png,image/png,Nieder.Rhein.Land 2021
DIN AR 6: Großes Kino im Postkartenformat,https://codingdavinci.de/de/projekte/din-ar-6-grosses-kino-im-postkartenformat,coding-da-vinci-3.png,,,/sites/default/files/2021-10/coding-da-vinci-3.png,image/png,Nieder.Rhein.Land 2021
CLOCKS ATTACK!!!,https://codingdavinci.de/de/projekte/clocks-attack,1631508787401.png,CC BY-SA 3.0 DE,Leander Seige,/sites/default/files/2021-11/1631508787401.png,image/png,Nieder.Rhein.Land 2021
Karten für Zeitreisende,https://codingdavinci.de/de/projekte/karten-fuer-zeitreisende,app-cover.jpg,CC BY-SA 4.0,Constantin Litvak,/sites/default/files/2021-11/app-cover.jpg,image/jpeg,Nieder.Rhein.Land 2021
Research Generative Design,https://codingdavinci.de/de/projekte/research-generative-design,makk_visualisierung1-aktuelle-ansicht.png,CC BY 4.0,Laura Maréchal,/sites/default/files/2021-11/makk_visualisierung1-aktuelle-ansicht.png,image/png,Nieder.Rhein.Land 2021
Julies Traum - aus dem Tagebuch einer jungen BAZAR-Leserin,https://codingdavinci.de/de/projekte/julies-traum-aus-dem-tagebuch-einer-jungen-bazar-leserin,julies-traum.png,public domain,,/sites/default/files/2021-11/julies-traum.png,image/png,Nieder.Rhein.Land 2021
Wishing Well,https://codingdavinci.de/de/projekte/wishing-well,logo_0.jpg,CC BY 4.0,Jasper Meiners,/sites/default/files/2022-04/logo_0.jpg,image/jpeg,Ost³ 2022
UHF-converter,https://codingdavinci.de/de/projekte/uhf-converter,picture.JPG,public domain,,/sites/default/files/2022-04/picture.JPG,image/jpeg,Ost³ 2022
Old photos become influencers,https://codingdavinci.de/de/projekte/old-photos-become-influencers,hirschfelde1.png,CC BY 4.0,Nils Kochan,/sites/default/files/2022-04/hirschfelde1.png,image/png,Ost³ 2022
Ein Tag im Leben eines Steinarbeiters,https://codingdavinci.de/de/projekte/ein-tag-im-leben-eines-steinarbeiters,279014154_725864651744283_6204122945402710514_n Cropped.jpg,public domain,,/sites/default/files/2022-04/279014154_725864651744283_6204122945402710514_n%20Cropped.jpg,image/jpeg,Ost³ 2022
"#Tagmotion, Tags im Museum",https://codingdavinci.de/de/projekte/tagmotion-tags-im-museum,1647793111821.jpg,CC BY 4.0,"Steve Krämer, Lukas Kliemank, Julia Arning, Robert Stanley, Romy Krämer, Juliane Flade, Peter Wolf, Maria Häuber",/sites/default/files/2022-04/1647793111821.jpg,image/jpeg,Ost³ 2022
#hammerpairs,https://codingdavinci.de/de/projekte/hammerpairs,220424_pairs_front-07.png,CC BY 3.0,collectivepairs,/sites/default/files/2022-04/220424_pairs_front-07.png,image/png,Ost³ 2022
Abstract Visioner,https://codingdavinci.de/de/projekte/abstract-visioner,AV logo.png,public domain,,/sites/default/files/2022-04/AV%20logo.png,image/png,Ost³ 2022
Paracosm - mindful maps,https://codingdavinci.de/de/projekte/paracosm-mindful-maps,Screen Shot 2022-04-25 at 22.00.53_0.png,CC BY-SA 3.0 PL,"Katarzyna Bazylczyk, Magdalena Szary",/sites/default/files/2022-04/Screen%20Shot%202022-04-25%20at%2022.00.53_0.png,image/png,Ost³ 2022
Silbermann Reloaded,https://codingdavinci.de/de/projekte/silbermann-reloaded,silbermann-reloaded-23.jpg,CC BY-SA 4.0,Europeana + Matthias Müller-Prove,/sites/default/files/2022-04/silbermann-reloaded-23.jpg,image/jpeg,Ost³ 2022
Radikale Gespräche,https://codingdavinci.de/de/projekte/radikale-gespraeche,WEBSITE.jpg,CC BY-SA 3.0,Sonja Meiners,/sites/default/files/2022-04/WEBSITE.jpg,image/jpeg,Ost³ 2022
webweb,https://codingdavinci.de/de/projekte/webweb,hero_image_small.png,CC BY 4.0,"Nils Kochan, Katja Rempel",/sites/default/files/2022-04/hero_image_small.png,image/png,Ost³ 2022
Fine Young Radicals,https://codingdavinci.de/de/projekte/fine-young-radicals,Stempel-Titelbild.jpg,CC BY-SA 3.0 DE,Regina Rullmann,/sites/default/files/2022-04/Stempel-Titelbild.jpg,image/jpeg,Ost³ 2022
Dackel in Trouble,https://codingdavinci.de/de/projekte/dackel-trouble,dackel_in_trouble_projectsplash.jpg,CC BY 4.0,Dackel in Trouble Team CdV Ost3,/sites/default/files/2022-04/dackel_in_trouble_projectsplash.jpg,image/jpeg,Ost³ 2022
Liquitecture,https://codingdavinci.de/de/projekte/liquitecture,Bez nazwy-1_1.jpg,CC BY-SA 3.0,"Adrian Kulik, Tomasz Przybyłek, Joerg Reichert",/sites/default/files/2022-04/Bez%20nazwy-1_1.jpg,image/jpeg,Ost³ 2022
BackToTheMap,https://codingdavinci.de/de/projekte/backtothemap,image843.png,CC0 1.0,,/sites/default/files/2022-04/image843.png,image/png,Ost³ 2022
Loxper virtual guide,https://codingdavinci.de/de/projekte/loxper-virtual-guide,Loxper-street-03_1.jpg,public domain,,/sites/default/files/2022-04/Loxper-street-03_1.jpg,image/jpeg,Ost³ 2022
Klingende Mathemodelle in VR,https://codingdavinci.de/de/projekte/klingende-mathemodelle-vr,Screenshot.png,CC BY-SA 3.0,N. Schwirz,/sites/default/files/2022-04/Screenshot.png,image/png,Ost³ 2022
Klingende Mathemodelle in VR,https://codingdavinci.de/de/projekte/klingende-mathemodelle-vr,Screenshot.png,CC BY-SA 3.0,N. Schwirz,/sites/default/files/2022-04/Screenshot.png,image/png,Ost³ 2022
Melodic mathematical models in VR,https://codingdavinci.de/en/projekte/melodic-mathematical-models-vr,Screenshot.png,CC BY-SA 3.0,N. Schwirz,/sites/default/files/2022-04/Screenshot.png,image/png,Ost³ 2022
Melodic mathematical models in VR,https://codingdavinci.de/en/projekte/melodic-mathematical-models-vr,Screenshot.png,CC BY-SA 3.0,N. Schwirz,/sites/default/files/2022-04/Screenshot.png,image/png,Ost³ 2022
Casus Castellum,https://codingdavinci.de/de/projekte/casus-castellum,icon2_resized.png,CC BY-SA 4.0,Johanna Kuch,/sites/default/files/2022-06/icon2_resized.png,image/png,Baden-Württemberg 2022
Gargoyles Tower Defense,https://codingdavinci.de/de/projekte/gargoyles-tower-defense,WhatsApp Image 2022-06-06 at 23.39.38.jpeg,public domain,,/sites/default/files/2022-06/WhatsApp%20Image%202022-06-06%20at%2023.39.38.jpeg,image/jpeg,Baden-Württemberg 2022
Emakimono,https://codingdavinci.de/de/projekte/emakimono,DEEE5459-DBA0-4BB8-B297-2B466965CBA6.png,CC0 1.0,,/sites/default/files/2022-08/DEEE5459-DBA0-4BB8-B297-2B466965CBA6.png,image/png,Baden-Württemberg 2022
Hinter dem Rahmen - Immersives XR-Erlebnis,https://codingdavinci.de/de/projekte/hinter-dem-rahmen-immersives-xr-erlebnis,VR-Room.png,CC BY-SA 4.0,Anna-Lena Niethammer,/sites/default/files/2022-06/VR-Room.png,image/png,Baden-Württemberg 2022
Yabusame!!,https://codingdavinci.de/de/projekte/yabusame,Title.png,CC BY 4.0,Patrick Muczczek,/sites/default/files/2022-06/Title.png,image/png,Baden-Württemberg 2022
Time Flies,https://codingdavinci.de/de/projekte/time-flies,Coding Da Vinci 2022.png,CC BY 4.0,Florian Diller,/sites/default/files/2022-06/Coding%20Da%20Vinci%202022.png,image/png,Baden-Württemberg 2022
47 Rōnin,https://codingdavinci.de/de/projekte/47-ronin,Untitled.png,CC0 1.0,,/sites/default/files/2022-06/Untitled.png,image/png,Baden-Württemberg 2022
Unravelling Art,https://codingdavinci.de/de/projekte/unravelling-art,Unravelling Art (1).png,public domain,,/sites/default/files/2022-06/Unravelling%20Art%20%281%29.png,image/png,Baden-Württemberg 2022
FLECTURE,https://codingdavinci.de/de/projekte/flecture,Image from iOS.png,CC BY-SA 4.0,Anna-Saray Rohmann,/sites/default/files/2022-06/Image%20from%20iOS.png,image/png,Baden-Württemberg 2022
HAMMERLORD,https://codingdavinci.de/de/projekte/hammerlord,header.png,CC BY-SA 4.0,"Hammerlord ein Original Spiel von: Maxime Caruso, Jeanna Nechypurenko, Lars Degen, Jannik Schätzle, Leonie Kahn",/sites/default/files/2022-06/header.png,image/png,Baden-Württemberg 2022
Stuttg'Art,https://codingdavinci.de/de/projekte/stuttgart,LogoPublic_0.png,CC BY 3.0,Selina Kässmann,/sites/default/files/2022-06/LogoPublic_0.png,image/png,Baden-Württemberg 2022
Italiensehnsucht: Mysterium des Fohr,https://codingdavinci.de/de/projekte/italiensehnsucht-mysterium-des-fohr,TitelBildMyteriumDesFohrs.png,CC BY 3.0 DE,"Erik Böpple, Marie-Hélène Baten",/sites/default/files/2022-06/TitelBildMyteriumDesFohrs.png,image/png,Baden-Württemberg 2022
Flugblättlefieber,https://codingdavinci.de/de/projekte/flugblaettlefieber,BannerV2.png,CC BY 3.0 DE,Flugblättle-Team,/sites/default/files/2022-06/BannerV2.png,image/png,Baden-Württemberg 2022
ansights,https://codingdavinci.de/de/projekte/ansights,logo_ansights_jpg.jpg,CC BY-SA 4.0,,/sites/default/files/2022-06/logo_ansights_jpg.jpg,image/jpeg,Baden-Württemberg 2022
Troia erleben,https://codingdavinci.de/de/projekte/troia-erleben,WhatsApp Image 2022-05-08 at 15.08.17.jpeg,CC BY 4.0,Stephan Blum,/sites/default/files/2022-06/WhatsApp%20Image%202022-05-08%20at%2015.08.17.jpeg,image/jpeg,Baden-Württemberg 2022
Yabusame - Ritterspiele,https://codingdavinci.de/de/projekte/yabusame-ritterspiele,Yabusame.png,public domain,,/sites/default/files/2022-06/Yabusame.png,image/png,Baden-Württemberg 2022
#halligallipairs,https://codingdavinci.de/de/projekte/halligallipairs,544bb877-3192-4327-874c-7294caf502b5.JPG,CC BY 4.0,Collective Pairs,/sites/default/files/2022-06/544bb877-3192-4327-874c-7294caf502b5.JPG,image/jpeg,Baden-Württemberg 2022
GarGOyle,https://codingdavinci.de/de/projekte/gargoyle,Samy mit Nachthimmel.png,CC BY-SA 3.0,Regina Rullmann,/sites/default/files/2022-06/Samy%20mit%20Nachthimmel.png,image/png,Baden-Württemberg 2022
ScrapHumor,https://codingdavinci.de/de/projekte/scraphumor,PPT Cover square_3.png,CC BY-SA 4.0,2022 ScrapHumor,/sites/default/files/2022-06/PPT%20Cover%20square_3.png,image/png,Baden-Württemberg 2022
Capture the Wild - a spectacular video journey,https://codingdavinci.de/de/projekte/capture-wild-spectacular-video-journey,Gruppenbild_final2.jpg,CC BY-SA 3.0,"Carlotta Reinders, Icaro Orengo, Philipp Wandel",/sites/default/files/2022-06/Gruppenbild_final2.jpg,image/jpeg,Baden-Württemberg 2022
History Map,https://codingdavinci.de/de/projekte/history-map,historymap.png,public domain,,/sites/default/files/2022-06/historymap.png,image/png,Baden-Württemberg 2022
KM3-Image-AI,https://codingdavinci.de/de/projekte/km3-image-ai,kmj.png,public domain,,/sites/default/files/2022-06/kmj.png,image/png,Baden-Württemberg 2022
JaRm,https://codingdavinci.de/de/projekte/jarm,afnstudios.png,public domain,,/sites/default/files/2022-06/afnstudios.png,image/png,Baden-Württemberg 2022
Analyse der Tübinger Studentendaten,https://codingdavinci.de/de/projekte/analyse-der-tuebinger-studentendaten,cdv.jpg,public domain,,/sites/default/files/2022-06/cdv.jpg,image/jpeg,Baden-Württemberg 2022
"KIS - ""Kunst im Städtle""",https://codingdavinci.de/de/projekte/kis-kunst-im-staedtle,,public domain,,,,Baden-Württemberg 2022
Monster_Lab,https://codingdavinci.de/de/projekte/monsterlab,F_monsterlab_01_BenBrenner.png,,,/sites/default/files/2022-08/F_monsterlab_01_BenBrenner.png,image/png,Baden-Württemberg 2022
ArtXFashion AI Designer,https://codingdavinci.de/de/projekte/artxfashion-ai-designer,artxfashionaidesignerlogo.png,,,/sites/default/files/2022-06/artxfashionaidesignerlogo.png,image/png,Baden-Württemberg 2022
Dating App: LOOK AT ME,https://codingdavinci.de/de/projekte/dating-app-look-me,cover.jpeg,CC BY 4.0,"Franz Xaver Winterhalter, Die Briefleserin, 1860, Augustinermuseum, M 32/011, Foto: Axel Killian",/sites/default/files/2022-06/cover.jpeg,image/jpeg,Baden-Württemberg 2022